Date,Close,Open,High,Low,Vol.,Change %
18/12/2023,949.14,956.01,957.33,944.41,12.33B,-0.0092
19/12/2023,959.6,948.25,959.6,946.67,5.75B,0.011
20/12/2023,962.98,964.04,967.46,960.6,3.08B,0.0035
21/12/2023,964.18,963.49,964.67,957.84,2.73B,0.0012
22/12/2023,967.36,967.68,969.99,964.74,2.56B,0.0033
26/12/2023,967.36,967.68,969.99,964.74,,0
27/12/2023,968.73,971.35,973.96,967.9,2.88B,0.0014
28/12/2023,977.07,973.18,979.4,971.76,2.79B,0.0086
29/12/2023,970.57,978.01,978.27,969.27,2.85B,-0.0067
2/1/2024,979.43,969.46,979.43,966.47,2.34B,0.0091
3/1/2024,973.38,977.74,978.77,971.42,2.49B,-0.0062
4/1/2024,988.64,975.7,991.47,973.81,2.96B,0.0157
5/1/2024,986.26,992.16,998.34,986.26,2.38B,-0.0024
8/1/2024,976.44,988.65,994.77,974.87,2.66B,-0.01
9/1/2024,970.08,979.83,982.38,967.05,3.91B,-0.0065
10/1/2024,969.14,967.27,974.29,963.17,2.55B,-0.001
11/1/2024,969.94,974.78,978.22,969.94,5.53B,0.0008
12/1/2024,977.82,974.8,979.72,972.1,4.33B,0.0081
15/01/2024,974.06,980.54,982.27,972.1,3.04B,-0.0038
16/01/2024,975.39,975.65,981.3,972.12,2.89B,0.0014
17/01/2024,968.94,976.51,977.26,963.96,10.48B,-0.0066
18/01/2024,972.96,968.59,976.38,967.8,4.13B,0.0041
19/01/2024,972.67,976.87,978.71,968.04,3.15B,-0.0003
22/01/2024,973.37,973.79,976.17,967.75,2.95B,0.0007
23/01/2024,971.77,969.84,973.27,963.69,3.03B,-0.0016
24/01/2024,966.25,971.61,974.73,960.63,3.51B,-0.0057
25/01/2024,959.8,963.45,971.13,959.2,3.39B,-0.0067
26/01/2024,951.49,954.16,957.12,945.04,3.79B,-0.0087
29/01/2024,961.92,953.67,961.92,952.36,7.60B,0.011
30/01/2024,971.7,959.66,975.23,957.27,7.55B,0.0102
31/01/2024,974.22,976.4,981.2,972.59,6.27B,0.0026
1/2/2024,977.27,977.24,983.21,972.81,7.91B,0.0031
2/2/2024,984.67,981.69,984.67,975.46,3.59B,0.0076
5/2/2024,975.49,984.36,985.44,975.49,5.35B,-0.0093
6/2/2024,980.62,982.38,984.71,978.51,5.51B,0.0053
7/2/2024,983.14,984.47,986.94,981.41,2.81B,0.0026
12/2/2024,995.17,990.41,996.87,987.57,7.22B,0.0122
13/02/2024,988.16,996.03,997,986.28,3.46B,-0.007
15/02/2024,1003.32,1016.24,1017.38,1003.32,5.88B,0.0153
16/02/2024,1006.63,1010.89,1014.63,1002.36,4.43B,0.0033
19/02/2024,998.29,1003.95,1007.81,996.23,5.14B,-0.0083
20/02/2024,1010.87,1003.57,1010.87,1001.9,3.99B,0.0126
21/02/2024,1008.41,1009.39,1012.28,997.44,5.26B,-0.0024
22/02/2024,1002.51,1005.33,1008.34,1000.13,3.46B,-0.0059
23/02/2024,994.16,999.65,1001.65,988.87,3.97B,-0.0083
26/02/2024,991.6,990.33,994.28,986.72,3.43B,-0.0026
27/02/2024,992.69,987.25,994.74,985.39,6.09B,0.0011
28/02/2024,997.25,994.16,999.31,990.87,9.81B,0.0046
29/02/2024,989.93,996.85,998.06,986.28,9.35B,-0.0073
1/3/2024,987.9,990.48,992.88,981.24,4.13B,-0.0021
4/3/2024,981.95,989.42,990.45,979.79,7.06B,-0.006
5/3/2024,979.88,986.29,987.72,979.3,3.84B,-0.0021
6/3/2024,994.06,980.88,995.04,980.61,8.78B,0.0145
7/3/2024,996.56,996.01,1000.61,993.85,8.53B,0.0025
8/3/2024,1000.35,1001.92,1004.8,998.78,3.51B,0.0038
13/03/2024,1003.48,1009.18,1009.61,999.94,4.41B,0.0031
